CLAIMANT_ID,CLAIMANT_NAME,CLAIMANT_TYPE,BUSINESS_NAME,INDUSTRY,CONTACT_EMAIL,CONTACT_PHONE,ADDRESS_STATE,ADDRESS_CITY,DATE_OF_BIRTH,CREATED_AT
CLM-000079,Claimant_79,Business,Business_79,Retail,claimant_79@email.com,555-548-3477,MD,Charlotte,1961-11-10,2026-04-18 06:08:05
CLM-000080,Claimant_80,Third Party,,Transportation,claimant_80@email.com,555-458-5456,MD,Richmond,1979-03-18,2025-12-30 11:10:05
CLM-000081,Claimant_81,Business,Business_81,Agriculture,claimant_81@email.com,555-241-5219,VA,Richmond,1975-10-18,2026-01-06 12:28:05
CLM-000082,Claimant_82,Business,Business_82,Transportation,claimant_82@email.com,555-870-3136,VA,Baltimore,2004-02-25,2025-03-17 22:53:05
CLM-000083,Claimant_83,Third Party,,Agriculture,claimant_83@email.com,555-680-9284,KY,Charleston,1969-04-02,2025-06-17 05:02:05
CLM-000084,Claimant_84,Individual,,Technology,claimant_84@email.com,555-682-9971,WV,Baltimore,1980-05-12,2026-03-18 02:29:05
CLM-000085,Claimant_85,Third Party,,Agriculture,claimant_85@email.com,555-175-5086,PA,Columbus,1986-09-20,2025-02-15 14:39:05
CLM-000086,Claimant_86,Third Party,,Agriculture,claimant_86@email.com,555-788-9947,WV,Baltimore,1960-04-05,2026-01-15 15:31:05
CLM-000087,Claimant_87,Business,Business_87,Restaurant,claimant_87@email.com,555-575-2777,GA,Pittsburgh,1972-08-15,2025-02-28 16:59:05
CLM-000088,Claimant_88,Individual,,Construction,claimant_88@email.com,555-440-9922,VA,Pittsburgh,1967-10-29,2025-03-19 02:08:05
CLM-000089,Claimant_89,Business,Business_89,Transportation,claimant_89@email.com,555-674-9874,KY,Indianapolis,1989-06-16,2025-08-10 13:59:05
CLM-000090,Claimant_90,Third Party,,Construction,claimant_90@email.com,555-571-3836,GA,Charlotte,2005-06-20,2026-03-17 06:07:05
CLM-000091,Claimant_91,Business,Business_91,Healthcare,claimant_91@email.com,555-149-6263,PA,Charlotte,1989-02-16,2025-07-22 02:23:05
CLM-000092,Claimant_92,Third Party,,Retail,claimant_92@email.com,555-533-2487,MD,Columbus,1974-06-15,2025-08-29 17:54:05
CLM-000093,Claimant_93,Individual,,Healthcare,claimant_93@email.com,555-597-8974,PA,Richmond,2004-05-20,2026-04-09 19:45:05
CLM-000094,Claimant_94,Individual,,Retail,claimant_94@email.com,555-622-2024,WV,Columbus,2005-09-09,2025-04-30 03:00:05
CLM-000095,Claimant_95,Third Party,,Healthcare,claimant_95@email.com,555-585-6654,MD,Nashville,2003-10-25,2026-02-24 21:36:05
CLM-000096,Claimant_96,Individual,,Restaurant,claimant_96@email.com,555-759-4477,TN,Indianapolis,1965-02-12,2025-09-29 10:58:05
CLM-000097,Claimant_97,Individual,,Healthcare,claimant_97@email.com,555-692-7965,VA,Nashville,1964-04-22,2026-03-21 12:27:05
CLM-000098,Claimant_98,Business,Business_98,Restaurant,claimant_98@email.com,555-149-8201,VA,Charlotte,1986-10-24,2025-10-23 17:21:05
CLM-000099,Claimant_99,Business,Business_99,Manufacturing,claimant_99@email.com,555-570-3784,KY,Charleston,1983-10-04,2025-04-01 00:08:05
CLM-000100,Claimant_100,Individual,,Construction,claimant_100@email.com,555-997-5252,IN,Charlotte,1977-08-09,2026-04-06 10:47:05
CLM-000101,Claimant_101,Business,Business_101,Healthcare,claimant_101@email.com,555-327-6100,PA,Nashville,1978-06-12,2025-02-25 17:46:05
CLM-000102,Claimant_102,Third Party,,Transportation,claimant_102@email.com,555-191-8809,SC,Nashville,1982-07-05,2026-04-05 18:04:05
CLM-000103,Claimant_103,Third Party,,Transportation,claimant_103@email.com,555-284-9562,TN,Nashville,1984-09-06,2025-08-22 15:43:05
CLM-000104,Claimant_104,Third Party,,Agriculture,claimant_104@email.com,555-559-6267,VA,Charleston,2003-11-29,2025-07-14 20:01:05
CLM-000105,Claimant_105,Business,Business_105,Retail,claimant_105@email.com,555-727-8557,GA,Indianapolis,1979-12-21,2025-09-22 17:03:05
CLM-000106,Claimant_106,Third Party,,Restaurant,claimant_106@email.com,555-132-8907,TN,Richmond,1978-10-04,2025-07-26 19:53:05
CLM-000107,Claimant_107,Third Party,,Restaurant,claimant_107@email.com,555-148-7900,WV,Nashville,1988-04-12,2025-09-29 19:37:05
CLM-000108,Claimant_108,Third Party,,Restaurant,claimant_108@email.com,555-392-1342,KY,Pittsburgh,1978-10-13,2025-06-01 12:39:05
CLM-000109,Claimant_109,Business,Business_109,Healthcare,claimant_109@email.com,555-563-4146,IN,Richmond,1988-08-14,2025-07-07 16:53:05
CLM-000110,Claimant_110,Third Party,,Transportation,claimant_110@email.com,555-182-3581,MD,Atlanta,1962-12-05,2025-05-07 07:07:05
CLM-000111,Claimant_111,Business,Business_111,Healthcare,claimant_111@email.com,555-438-6115,TN,Pittsburgh,1960-10-13,2025-08-23 11:17:05
CLM-000112,Claimant_112,Business,Business_112,Manufacturing,claimant_112@email.com,555-889-3248,IN,Nashville,1963-12-19,2025-10-22 16:16:05
CLM-000113,Claimant_113,Individual,,Agriculture,claimant_113@email.com,555-755-2444,KY,Atlanta,2000-04-09,2025-06-20 18:20:05
CLM-000114,Claimant_114,Individual,,Construction,claimant_114@email.com,555-928-8821,TN,Indianapolis,2004-04-06,2025-09-23 19:24:05
CLM-000115,Claimant_115,Business,Business_115,Agriculture,claimant_115@email.com,555-863-2669,PA,Charlotte,1990-06-20,2025-04-16 04:55:05
CLM-000116,Claimant_116,Third Party,,Retail,claimant_116@email.com,555-938-2293,GA,Nashville,1970-10-28,2025-03-08 22:55:05
CLM-000117,Claimant_117,Third Party,,Construction,claimant_117@email.com,555-104-9779,SC,Louisville,2004-09-12,2026-04-23 19:51:05
CLM-000118,Claimant_118,Third Party,,Technology,claimant_118@email.com,555-791-5835,VA,Baltimore,1995-08-11,2025-12-06 07:05:05
CLM-000119,Claimant_119,Third Party,,Restaurant,claimant_119@email.com,555-897-1813,GA,Nashville,2001-04-22,2025-10-04 02:15:05
CLM-000120,Claimant_120,Business,Business_120,Agriculture,claimant_120@email.com,555-415-9224,KY,Pittsburgh,1975-11-01,2025-03-04 20:13:05
CLM-000121,Claimant_121,Individual,,Agriculture,claimant_121@email.com,555-147-8236,SC,Louisville,1987-08-20,2025-12-26 23:22:05
CLM-000122,Claimant_122,Business,Business_122,Technology,claimant_122@email.com,555-852-9507,WV,Nashville,1966-07-28,2025-02-13 08:38:05
CLM-000123,Claimant_123,Business,Business_123,Restaurant,claimant_123@email.com,555-815-2632,GA,Richmond,2003-06-23,2025-02-18 06:23:05
CLM-000124,Claimant_124,Individual,,Technology,claimant_124@email.com,555-458-2615,WV,Nashville,1983-04-12,2025-09-01 10:14:05
CLM-000125,Claimant_125,Business,Business_125,Transportation,claimant_125@email.com,555-541-3413,IL,Louisville,1974-07-26,2025-10-16 23:48:05
CLM-000126,Claimant_126,Business,Business_126,Technology,claimant_126@email.com,555-428-6837,GA,Charleston,1981-01-02,2026-02-04 20:38:05
CLM-000127,Claimant_127,Individual,,Manufacturing,claimant_127@email.com,555-739-7460,SC,Nashville,1984-07-24,2026-01-23 06:10:05
CLM-000128,Claimant_128,Individual,,Healthcare,claimant_128@email.com,555-635-9565,NC,Charleston,1998-11-08,2026-03-31 18:40:05
CLM-000129,Claimant_129,Business,Business_129,Technology,claimant_129@email.com,555-716-2535,KY,Richmond,1979-05-12,2026-01-12 12:12:05
CLM-000130,Claimant_130,Business,Business_130,Agriculture,claimant_130@email.com,555-117-4962,VA,Nashville,1989-02-03,2026-05-19 10:52:05
CLM-000131,Claimant_131,Individual,,Construction,claimant_131@email.com,555-430-3439,VA,Pittsburgh,1956-08-20,2026-04-20 13:40:05
CLM-000132,Claimant_132,Individual,,Restaurant,claimant_132@email.com,555-520-3947,NC,Richmond,1993-03-28,2025-01-15 03:53:05
CLM-000133,Claimant_133,Individual,,Agriculture,claimant_133@email.com,555-112-7488,TN,Charleston,2002-02-01,2025-06-18 20:00:05
CLM-000134,Claimant_134,Business,Business_134,Retail,claimant_134@email.com,555-492-2920,IN,Columbus,1979-02-02,2025-08-14 14:31:05
CLM-000135,Claimant_135,Individual,,Construction,claimant_135@email.com,555-690-6124,WV,Indianapolis,1994-11-17,2026-02-24 00:55:05
CLM-000136,Claimant_136,Business,Business_136,Construction,claimant_136@email.com,555-858-2320,PA,Charlotte,1977-02-26,2025-03-28 09:28:05
CLM-000137,Claimant_137,Individual,,Technology,claimant_137@email.com,555-523-3598,MD,Baltimore,1981-10-22,2025-02-01 07:00:05
CLM-000138,Claimant_138,Individual,,Retail,claimant_138@email.com,555-338-3402,GA,Charleston,1987-02-19,2025-03-03 01:53:05
CLM-000139,Claimant_139,Business,Business_139,Manufacturing,claimant_139@email.com,555-701-9334,KY,Indianapolis,1983-08-20,2026-01-23 18:37:05
CLM-000140,Claimant_140,Business,Business_140,Retail,claimant_140@email.com,555-349-5770,PA,Columbus,1979-04-28,2025-07-22 08:49:05
CLM-000141,Claimant_141,Business,Business_141,Retail,claimant_141@email.com,555-833-9240,NC,Baltimore,1956-08-14,2025-10-22 07:30:05
CLM-000142,Claimant_142,Business,Business_142,Healthcare,claimant_142@email.com,555-398-5439,KY,Charleston,2001-08-10,2025-06-14 03:41:05
CLM-000143,Claimant_143,Business,Business_143,Transportation,claimant_143@email.com,555-196-3561,PA,Nashville,1970-07-27,2025-09-02 05:57:05
CLM-000144,Claimant_144,Third Party,,Healthcare,claimant_144@email.com,555-724-2620,KY,Baltimore,2003-07-09,2025-05-24 00:17:05
CLM-000145,Claimant_145,Business,Business_145,Technology,claimant_145@email.com,555-860-3291,MD,Pittsburgh,1972-09-20,2026-01-18 07:33:05
CLM-000146,Claimant_146,Business,Business_146,Construction,claimant_146@email.com,555-571-3740,WV,Baltimore,1990-09-06,2025-10-26 23:09:05
CLM-000147,Claimant_147,Business,Business_147,Technology,claimant_147@email.com,555-631-4495,OH,Atlanta,1975-06-30,2025-05-23 20:37:05
CLM-000148,Claimant_148,Business,Business_148,Construction,claimant_148@email.com,555-763-1623,MD,Columbus,2000-01-14,2026-04-13 01:09:05
CLM-000149,Claimant_149,Individual,,Healthcare,claimant_149@email.com,555-827-4230,TN,Pittsburgh,1989-04-14,2025-01-17 02:25:05
CLM-000150,Claimant_150,Individual,,Transportation,claimant_150@email.com,555-624-4584,OH,Charleston,1997-07-08,2026-05-22 04:33:05
CLM-000151,Claimant_151,Third Party,,Agriculture,claimant_151@email.com,555-101-5655,PA,Atlanta,1972-10-26,2025-02-27 09:22:05
CLM-000152,Claimant_152,Third Party,,Technology,claimant_152@email.com,555-781-7465,VA,Richmond,1988-04-07,2025-08-26 05:44:05
CLM-000153,Claimant_153,Business,Business_153,Retail,claimant_153@email.com,555-765-4187,OH,Richmond,1998-03-05,2025-11-18 04:42:05
CLM-000154,Claimant_154,Individual,,Restaurant,claimant_154@email.com,555-521-2072,PA,Charleston,1986-07-27,2025-08-15 13:54:05
CLM-000155,Claimant_155,Individual,,Restaurant,claimant_155@email.com,555-710-3892,PA,Nashville,2003-02-08,2025-05-04 18:41:05
CLM-000156,Claimant_156,Third Party,,Manufacturing,claimant_156@email.com,555-817-8407,WV,Atlanta,1975-11-29,2025-02-26 00:19:05
CLM-000157,Claimant_157,Business,Business_157,Agriculture,claimant_157@email.com,555-634-6090,IN,Columbus,1963-03-19,2025-09-15 16:07:05
CLM-000158,Claimant_158,Third Party,,Agriculture,claimant_158@email.com,555-184-4790,OH,Charlotte,1971-02-11,2025-10-22 06:17:05
CLM-000159,Claimant_159,Third Party,,Retail,claimant_159@email.com,555-277-7872,TN,Louisville,1957-07-15,2025-01-26 03:52:05
CLM-000160,Claimant_160,Third Party,,Construction,claimant_160@email.com,555-736-8735,SC,Indianapolis,1967-09-15,2025-02-04 23:14:05
CLM-000161,Claimant_161,Individual,,Agriculture,claimant_161@email.com,555-560-7348,GA,Charlotte,1975-12-08,2025-06-14 23:04:05
CLM-000162,Claimant_162,Business,Business_162,Technology,claimant_162@email.com,555-522-3424,MD,Baltimore,1959-09-28,2025-02-15 18:29:05
CLM-000163,Claimant_163,Individual,,Restaurant,claimant_163@email.com,555-818-9989,IL,Charleston,1972-01-26,2025-03-28 01:52:05
CLM-000164,Claimant_164,Business,Business_164,Healthcare,claimant_164@email.com,555-715-4721,KY,Baltimore,1979-09-17,2026-04-12 19:24:05
CLM-000165,Claimant_165,Third Party,,Manufacturing,claimant_165@email.com,555-636-4387,SC,Nashville,1962-04-28,2025-10-06 10:41:05
CLM-000166,Claimant_166,Business,Business_166,Healthcare,claimant_166@email.com,555-782-7398,GA,Richmond,1985-03-21,2026-05-14 23:15:05
CLM-000167,Claimant_167,Third Party,,Healthcare,claimant_167@email.com,555-327-6880,VA,Charleston,1972-01-05,2026-04-03 19:03:05
CLM-000168,Claimant_168,Third Party,,Retail,claimant_168@email.com,555-741-8693,SC,Louisville,1987-02-13,2026-02-08 05:49:05
CLM-000169,Claimant_169,Third Party,,Healthcare,claimant_169@email.com,555-107-9504,WV,Nashville,1968-11-18,2025-03-20 12:11:05
CLM-000170,Claimant_170,Third Party,,Retail,claimant_170@email.com,555-986-4040,TN,Nashville,1960-11-04,2025-05-21 00:57:05
CLM-000171,Claimant_171,Third Party,,Restaurant,claimant_171@email.com,555-773-8464,IL,Louisville,1990-06-21,2026-04-24 02:06:05
CLM-000172,Claimant_172,Third Party,,Restaurant,claimant_172@email.com,555-747-3643,OH,Charleston,1962-03-15,2025-07-17 20:50:05
CLM-000173,Claimant_173,Individual,,Construction,claimant_173@email.com,555-688-7159,IN,Charleston,1977-06-02,2026-04-13 19:46:05
CLM-000174,Claimant_174,Individual,,Technology,claimant_174@email.com,555-568-1425,GA,Charlotte,1995-07-01,2025-05-12 04:23:05
CLM-000175,Claimant_175,Individual,,Agriculture,claimant_175@email.com,555-766-8561,TN,Indianapolis,1957-12-24,2025-12-16 03:27:05
CLM-000176,Claimant_176,Business,Business_176,Technology,claimant_176@email.com,555-177-7135,IL,Pittsburgh,1973-12-26,2025-11-25 19:41:05
CLM-000177,Claimant_177,Third Party,,Restaurant,claimant_177@email.com,555-420-1443,IN,Nashville,1967-09-06,2025-12-14 05:29:05
CLM-000178,Claimant_178,Third Party,,Transportation,claimant_178@email.com,555-748-7343,SC,Baltimore,1966-02-15,2025-07-30 00:47:05
CLM-000179,Claimant_179,Third Party,,Technology,claimant_179@email.com,555-623-9051,WV,Atlanta,1965-03-06,2025-03-25 04:06:05
CLM-000180,Claimant_180,Third Party,,Agriculture,claimant_180@email.com,555-375-7265,PA,Richmond,2004-07-15,2025-03-14 05:56:05
CLM-000181,Claimant_181,Third Party,,Transportation,claimant_181@email.com,555-106-6462,NC,Nashville,1969-10-26,2026-01-10 05:32:05
CLM-000182,Claimant_182,Individual,,Technology,claimant_182@email.com,555-193-6141,IN,Richmond,1987-02-15,2025-11-20 01:08:05
CLM-000183,Claimant_183,Business,Business_183,Technology,claimant_183@email.com,555-601-7140,NC,Charleston,1974-05-16,2025-12-08 16:08:05
CLM-000184,Claimant_184,Third Party,,Agriculture,claimant_184@email.com,555-955-6342,WV,Atlanta,1961-08-29,2025-09-05 05:44:05
CLM-000185,Claimant_185,Business,Business_185,Healthcare,claimant_185@email.com,555-252-7182,PA,Richmond,1974-06-08,2026-01-27 11:09:05
CLM-000186,Claimant_186,Business,Business_186,Retail,claimant_186@email.com,555-927-4908,TN,Baltimore,1998-03-25,2025-07-01 10:54:05
CLM-000187,Claimant_187,Third Party,,Retail,claimant_187@email.com,555-287-6038,NC,Richmond,1974-12-03,2025-06-05 13:55:05
CLM-000188,Claimant_188,Business,Business_188,Agriculture,claimant_188@email.com,555-163-5627,WV,Pittsburgh,1989-06-12,2026-04-13 05:09:05
CLM-000189,Claimant_189,Third Party,,Manufacturing,claimant_189@email.com,555-102-2773,VA,Richmond,1960-05-21,2026-04-13 09:23:05
CLM-000190,Claimant_190,Individual,,Manufacturing,claimant_190@email.com,555-534-7893,GA,Pittsburgh,1980-08-16,2025-06-01 03:57:05
CLM-000191,Claimant_191,Individual,,Agriculture,claimant_191@email.com,555-727-2031,TN,Charleston,2003-05-13,2026-02-23 02:53:05
